=================================
 학번   중간  기말   평균  순위 
=================================
 1401    80    85    82.5   12 
 1402    90    96    93.0    2 
 1403    56    65    60.5   17 
 1404    76    14    45.0   20 
 1405    92    90    91.0    4 
 1406    89    84    86.5    9 
 1407    95    87    91.0    4 
 1408    87    80    83.5   11 
 1409    96    90    93.0    2 
 1410    65    84    74.5   14 
 1411    89    76    82.5   12 
 1412    90    92    91.0    4 
 1413    84    89    86.5    9 
 1414    87    95    91.0    4 
 1415    79    66    72.5   15 
 1416    58    53    55.5   18 
 1417    48    78    63.0   16 
 1418    87    87    87.0    8 
 1419    96    93    94.5    1 
 1420    48    57    52.5   19 
